name,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA,hasWiki,isArchived
eclipse-vertx/vert.x,false,5339,37,master,0,200,Other,548,13054,1949,112150,"2011-06-17 02:54:55","2022-07-25 09:34:38","2022-07-25 06:41:39",http://vertx.io,Java,2418,169,2017,68,"2022-07-06 12:19:43","3d27653cf9718442fe3bf307325feb5eec844d73",true,false
cucumber/cucumber-jvm,false,5893,12,main,0,239,"MIT License",223,2476,1954,27887,"2011-06-27 07:49:46","2022-07-14 04:56:00","2022-07-15 11:59:50",https://cucumber.io,Java,1366,29,1189,9,"2022-07-14 12:11:25","de5c2b867c2be357e8f225eaa8662957ee89dc55",false,false
liquibase/liquibase,false,11252,342,master,73,310,"Apache License 2.0",135,3336,1544,151949,"2011-07-08 08:08:20","2022-07-26 02:22:46","2022-07-26 02:15:00","https://www.liquibase.org",Java,983,498,2127,133,"2022-07-25 04:32:39","65c65ba4e4b35d8b4ead1006e41d50d95803c7a8",true,false
cgeo/cgeo,false,16326,16,master,136,119,"Apache License 2.0",85,1211,541,427542,"2011-07-11 06:02:47","2022-07-25 09:58:35","2022-07-25 03:29:05",www.cgeo.org,Java,7793,647,5420,20,"2022-07-24 11:31:24","efef48c7162eecc31acc94624e2db0c3a14766d0",true,false
eclipse/jetty.project,false,24301,43,jetty-10.0.x,47,169,Other,273,3401,1809,208959,"2011-07-14 01:11:57","2022-07-22 02:37:02","2022-07-21 12:16:43","https://www.eclipse.org/jetty",Java,4401,349,3862,18,"2022-07-21 11:55:13","e3b0e80857cd3f2218f925702b22466a0c4e8bf7",false,false
"opentripplanner/opentripplanner",false,15513,114,dev-2.x,3,143,Other,148,1729,932,154559,"2011-07-18 04:15:38","2022-07-26 07:07:45","2022-07-25 06:34:24","http://www.opentripplanner.org",Java,2599,253,1705,59,"2022-07-25 02:58:49","7fe1effc54e9cc2416c5fe6648c0a22783233f63",true,false
"spring-projects/spring-integration",false,11029,18,main,117,185,"Apache License 2.0",139,1308,990,62774,"2011-07-22 09:47:27","2022-07-22 07:48:38","2022-07-22 09:38:09","http://projects.spring.io/spring-integration/",Java,579,60,3251,6,"2022-07-20 06:20:22","31907ec1d9e28076f2651dd818c6d336c70f90fa",true,false
querydsl/querydsl,false,8038,57,master,34,104,"Apache License 2.0",160,3865,781,51514,"2011-08-05 06:46:32","2022-07-21 11:13:05","2022-07-22 02:18:35",https://querydsl.com,Java,1879,129,1381,47,"2022-06-13 08:04:57","c068ced1f741c86949daca12de81a667ea47e258",true,false
liferay/liferay-docs,false,20947,19,master,0,146,Other,37,209,877,1011309,"2011-08-09 06:04:59","2022-07-15 04:28:15","2022-05-24 03:21:30",,Java,0,0,584,59,"2022-07-15 04:27:08","51691404f150e21e585bea5e9830da41da2211bd",false,false
apache/kafka,false,10207,39,trunk,0,340,"Apache License 2.0",1074,22596,11736,143771,"2011-08-15 06:06:16","2022-07-25 11:09:28","2022-07-26 03:36:15",,Java,0,0,12437,1000,"2022-07-25 08:24:40","a450fb70c12ba66257e8f61cc4903290f1e435ea",false,false
apereo/cas,false,21526,26,master,224,288,"Apache License 2.0",612,9594,3794,312208,"2011-09-09 01:36:42","2022-07-25 05:14:15","2022-07-26 03:47:07","https://apereo.github.io/cas/",Java,0,0,4160,1,"2022-07-25 09:59:19","dd9eace60d78cf737ef0c3f28facfcd41a096f6d",false,false
groovy/groovy-core,false,12378,35,master,149,129,"Apache License 2.0",127,1469,426,162860,"2011-09-19 07:41:42","2019-03-06 04:34:24","2020-12-01 02:21:50",,Java,,,684,15,"2016-02-09 02:49:59","01309f9d4be34ddf93c4a9943b5a97843bff6181",false,false
apache/ambari,false,24590,63,trunk,0,131,"Apache License 2.0",193,1564,1339,365428,"2011-09-23 07:00:08","2021-11-16 02:49:51","2021-11-16 04:01:59",,Java,0,0,3299,61,"2021-11-16 02:49:51","6c0aa136db32695583ce4df0ebd6f83539b7fa1b",false,false
apache/accumulo,false,11397,2,main,0,144,"Apache License 2.0",87,928,409,87581,"2011-10-06 07:00:09","2022-07-25 11:33:40","2022-07-25 06:27:00","https://accumulo.apache.org",Java,880,147,1935,36,"2022-07-25 09:38:44","f2710ceaeb8cada61605015931467ffd2b1f649e",false,false
javaparser/javaparser,false,8119,20,master,34,166,Other,144,4287,977,38447,"2011-10-30 02:03:44","2022-07-27 01:18:10","2022-07-28 08:49:54",https://javaparser.org,Java,1972,448,1673,46,"2022-07-27 01:17:20","48dfd6d04abfd44b4d01da283c5aaaf1b3c05aaf",true,false
alibaba/druid,false,6600,14,master,44,170,"Apache License 2.0",1763,25688,8163,67289,"2011-11-03 05:12:51","2022-06-26 11:36:53","2022-06-28 12:07:23","https://github.com/alibaba/druid/wiki",Java,3599,2254,1227,145,"2022-06-26 11:36:47","7e4778b7563258b1b8ec5e64a0775da31f580a63",true,false
geoserver/geoserver,false,12694,55,main,12,282,Other,201,2782,1897,280989,"2011-11-10 07:56:06","2022-07-25 11:53:42","2022-07-25 01:38:31",http://geoserver.org/,Java,0,0,6075,25,"2022-07-22 10:02:36","cc0e4cc922db1684f1fc9fb4a7ff0e871e179599",true,false
geotools/geotools,false,9318,46,main,12,233,"GNU Lesser General Public License v2.1",111,1319,1030,393412,"2011-11-10 11:22:12","2022-07-25 07:59:52","2022-07-26 05:34:08",http://geotools.org,Java,0,0,3974,11,"2022-07-21 04:52:11","a30a163eb0b3c23f40f410094f6be05b9cfc4add",true,false
"axonframework/axonframework",false,8438,31,master,96,143,"Apache License 2.0",202,2811,733,36623,"2011-12-02 04:04:42","2022-07-25 08:53:22","2022-07-24 04:23:44",http://axoniq.io,Java,1017,82,1276,10,"2022-07-22 12:48:43","d35854ca7678f27cd4697056781a436c7975859d",false,false
azure/azure-sdk-for-java,false,24355,209,main,3969,342,"MIT License",292,1537,1498,2643978,"2011-12-06 11:33:56","2022-07-17 09:01:58","2022-07-17 08:27:39",,Java,7999,1258,21927,98,"2022-07-15 10:56:19","1919c079d01543419782bf5dda17a790cdd436ba",true,false
resteasy/resteasy,false,5148,42,main,27,194,Other,81,1019,876,67002,"2011-12-09 03:15:43","2022-07-23 08:45:25","2022-07-24 07:37:49",https://resteasy.dev,Java,0,0,3072,34,"2022-07-22 04:26:39","7c5a4fa4339b8a10aad9ffbb19bf7c87ad933e75",false,false
signalapp/signal-android,false,10272,6,main,0,259,"GNU General Public License v3.0",914,22608,5493,638658,"2011-12-15 08:01:12","2022-07-22 07:55:27","2022-07-25 09:19:59",https://signal.org,Java,9687,229,2592,11,"2022-07-22 05:23:41","36b1f2816ce2e7afebe5e53d541f9613d4b98146",true,false
nuxeo/nuxeo,false,51061,566,10.10,0,101,,102,506,349,441967,"2011-12-15 02:35:41","2022-07-28 03:12:19","2022-07-27 09:12:02",http://www.nuxeo.com,Java,0,0,5151,48,"2022-07-26 08:23:54","ba218cb39a8b0da9e71e00dc9d8693ab19231b82",false,false
mcmmo-dev/mcmmo,false,6557,43,master,6,156,"GNU General Public License v3.0",78,832,746,27896,"2012-01-05 06:54:08","2022-07-24 05:10:00","2022-07-22 07:21:16",https://mcmmo.org,Java,4195,415,595,4,"2022-07-24 05:09:48","8a4fe8ae5d8db4b453ea485ca00a482d2afea134",true,false
"spring-projects/spring-security",false,10454,20,main,110,403,"Apache License 2.0",432,6970,5085,66732,"2012-01-10 09:50:57","2022-07-25 05:25:59","2022-07-25 04:51:00","http://spring.io/spring-security",Java,9631,754,1952,21,"2022-07-25 05:24:55","b76966638dd38b0649733941c93372e4c04f531c",true,false
"minecraftforge/minecraftforge",false,8251,28,1.19.x,0,367,Other,360,5630,2382,109370,"2012-01-30 01:35:01","2022-07-19 04:29:39","2022-07-19 08:45:38",,Java,3934,90,4741,58,"2022-07-17 01:49:56","aa8818b0494692e5991665463b5ff7c20ccd53ff",true,false
knowm/xchange,false,12342,13,develop,0,308,"MIT License",250,3523,1844,46253,"2012-02-02 10:48:28","2022-07-28 07:00:29","2022-07-27 01:45:06","http://knowm.org/open-source/xchange/",Java,1654,282,2874,39,"2022-07-19 12:56:25","55b070169b40bb78bb2e04f2d2796712eab52aeb",true,false
cloudfoundry/uaa,false,9742,156,develop,220,150,"Apache License 2.0",177,1439,814,62654,"2012-02-07 10:40:55","2022-07-25 10:51:21","2022-07-22 01:14:07",,Java,766,32,1196,20,"2022-07-23 11:34:47","6a676a88c5ba33282a982007450ca87a5e6a530a",false,false
graphhopper/graphhopper,false,6015,244,master,37,101,"Apache License 2.0",175,3728,1302,130539,"2012-02-18 07:57:38","2022-07-25 02:29:46","2022-07-26 06:30:09","https://www.graphhopper.com/open-source/",Java,1445,241,1185,20,"2022-07-25 09:04:40","ec122409733a45be995dca88a11d294e48768b92",false,false
"open-keychain/open-keychain",false,7288,55,master,0,102,"GNU General Public License v3.0",101,1723,457,79522,"2012-03-09 09:10:42","2022-07-21 08:46:47","2022-07-22 08:38:34","https://www.openkeychain.org",Java,2024,389,728,9,"2021-08-17 09:27:38","6f38af15828e07f0186109a89b7aa57f54101cfa",true,false
dspace/dspace,false,15766,20,main,66,161,"BSD 3-Clause New or Revised License",120,654,1139,158267,"2012-03-16 09:44:52","2022-07-26 04:36:14","2022-07-25 07:30:38","https://wiki.lyrasis.org/display/DSDOC7x/",Java,5036,426,3369,229,"2022-07-13 09:37:11","31f706042f098e2b78cfcc9a637f5852f8d307a1",false,false
hazelcast/hazelcast,false,36129,135,master,170,272,Other,305,4934,1655,358621,"2012-03-21 12:25:18","2022-07-26 06:48:08","2022-07-25 01:55:02","https://www.hazelcast.com",Java,7551,1058,14255,219,"2022-07-25 08:44:48","409b26cd1a47e587c8aef0fe47073addec96f009",true,false
"aosp-mirror/platform_frameworks_support",false,67656,412,androidx-master-dev,701,192,"Apache License 2.0",158,1584,637,354693,"2012-04-10 04:06:44","2020-06-09 09:48:07","2020-12-07 09:17:08",,Java,,,26,0,"2019-07-12 11:46:45","b9cd83371e928380610719dfbf97c87c58e80916",false,false
traccar/traccar,false,7451,2,master,38,132,"Apache License 2.0",295,3662,2094,19982,"2012-04-16 08:33:49","2022-07-25 07:50:07","2022-07-26 04:30:29",https://www.traccar.org,Java,4071,335,832,65,"2022-07-24 11:29:29","5ee3d373993f85b37213b0d21818144b481d2045",false,false
buildcraft/buildcraft,false,7352,35,8.0.x-1.12.2,63,170,Other,213,1248,493,75216,"2012-04-16 10:57:39","2021-11-27 02:42:41","2021-11-28 12:32:30","http://www.mod-buildcraft.com",Java,3614,350,1033,5,"2021-11-01 02:12:51","977f20a49826093101b986782e9e09a66f327712",true,false
"anysoftkeyboard/anysoftkeyboard",false,7066,16,main,44,116,"Apache License 2.0",103,2172,713,265547,"2012-04-18 12:38:01","2022-07-17 03:52:29","2022-07-16 11:42:02","http://anysoftkeyboard.github.io/",Java,2063,698,1271,23,"2022-07-15 06:33:08","1380bdcd45a19b14d2db25d794d5697811f76288",true,false
realm/realm-java,false,8877,97,master,0,100,Other,359,11305,1777,65133,"2012-04-20 09:18:42","2022-07-25 09:28:40","2022-07-25 09:41:57",http://realm.io,Java,4471,366,3170,37,"2022-05-24 08:57:27","0f3d616c503ed132d1566264e24c19b0f71640a7",true,false
magefree/mage,false,37987,29,master,81,294,"MIT License",105,1386,629,697943,"2012-04-27 01:18:34","2022-07-20 01:01:46","2022-07-19 02:10:12",http://xmage.de,Java,5964,1022,3315,61,"2022-07-19 10:45:53","af20b0fda379fbfef130fbc67e0df90ccf248638",true,false
catrobat/catroid,false,13098,7,develop,52,228,,133,329,570,168616,"2012-05-29 12:18:04","2022-07-22 01:04:10","2022-07-21 04:41:54","https://www.catrobat.org/",Java,0,0,4164,98,"2022-07-21 04:49:38","3dbda6446411a600dd404ae84ac5b100de351154",true,false
pentaho/pentaho-platform,false,8643,127,master,0,148,Other,136,436,684,171888,"2012-06-08 01:48:12","2022-07-17 07:12:34","2022-07-13 04:07:23",http://www.pentaho.com,Java,42,26,5066,8,"2022-07-14 03:39:07","25497e5c8e7f29704d626d95904606de17d9d214",true,false
apache/dubbo,false,5565,7,3.0,51,400,"Apache License 2.0",3111,37625,25164,40493,"2012-06-19 07:56:02","2022-07-19 12:46:10","2022-07-19 11:36:50","https://dubbo.apache.org/",Java,5314,397,4919,22,"2022-07-19 12:34:53","4aacd09ee7342c821b01a0b9898cb1892824a1ff",true,false
pmd/pmd,false,19301,11,master,77,254,Other,138,3923,1321,395753,"2012-07-11 06:03:00","2022-07-25 09:25:31","2022-07-25 03:29:07",https://pmd.github.io,Java,1927,616,1974,13,"2022-07-25 06:01:04","0550512a63d32fd6387da64a71ff9c3c6f1283de",true,false
undertow-io/undertow,false,5326,16,master,0,165,"Apache License 2.0",201,3188,924,25180,"2012-07-19 12:52:44","2022-07-19 06:17:03","2022-07-19 06:52:35",undertow.io,Java,0,0,1345,59,"2022-07-19 06:15:40","fde1ca6ffc8c6248a62179e98c59eb09202545c5",false,false
openmrs/openmrs-core,false,11697,78,master,0,351,Other,138,1112,3116,234814,"2012-07-26 04:54:29","2022-07-25 06:14:14","2022-07-23 01:39:40",http://openmrs.org,Java,0,0,4114,54,"2022-07-25 06:14:02","b851d79a3f36b09299c1b7e7c49158f67deeb718",false,false
antennapod/antennapod,false,8190,4,develop,46,207,"GNU General Public License v3.0",165,4352,1173,101109,"2012-07-31 10:25:08","2022-07-25 08:23:32","2022-07-25 10:06:35","https://www.antennapod.org",Java,3353,211,2608,14,"2022-07-24 11:43:57","7ddd5014d0cb13604d4a364b7a90d9429a0ad016",true,false
prestodb/presto,false,20052,107,master,0,349,"Apache License 2.0",869,13646,4715,173811,"2012-08-09 01:03:37","2022-07-17 07:22:56","2022-07-16 06:36:56","http://prestodb.github.io",Java,5014,788,12943,220,"2022-07-16 04:46:13","36858f235283e7c16ae4ad4ce493bd80876b179b",true,false
libgdx/libgdx,false,15042,4,master,9,334,"Apache License 2.0",1208,20247,6316,1101558,"2012-08-10 07:34:38","2022-07-25 09:49:58","2022-07-26 06:23:40",http://www.libgdx.com/,Java,3506,171,3399,64,"2022-07-25 07:57:32","578ee828d495f76e6cc81324a0a3db7747fe52ed",true,false
mekanism/mekanism,false,8823,18,1.19.x,4,127,"MIT License",103,961,447,115555,"2012-08-15 08:41:13","2022-07-21 07:22:30","2022-07-21 01:17:28",,Java,6553,25,825,7,"2022-07-21 05:25:44","19a5d531a780dacae9e98b637af13dd23b29743c",true,false
"jetbrains/intellij-plugins",false,23782,2153,master,0,225,,107,1843,971,394125,"2012-08-17 02:31:20","2022-07-25 02:17:10","2022-07-24 05:23:39","https://www.jetbrains.com/idea/",Java,0,0,845,21,"2022-07-25 10:02:57","6b9e3765ee25a7b8a52860d4ddb397ef06d976db",false,false
"jeremylong/dependencycheck",false,8646,5,main,33,212,"Apache License 2.0",161,4258,971,184380,"2012-09-03 08:43:30","2022-07-26 01:03:07","2022-07-24 07:56:09","https://owasp.org/www-project-dependency-check/",Java,3131,344,1570,5,"2022-07-25 10:34:31","5d5c3bcb6212546e37d0dd15138c8de4d160b014",true,false
sonarsource/sonar-java,false,8322,19,master,82,109,"GNU Lesser General Public License v3.0",64,913,574,57398,"2012-09-04 03:53:13","2022-07-12 08:05:50","2022-07-14 11:01:33","https://docs.sonarqube.org/latest/analysis/languages/java/",Java,0,0,4141,6,"2022-07-12 08:05:00","56dd7e1075194bb101a40de3571780ede0bb9035",true,false
activiti/activiti,false,10863,47,develop,33,197,"Apache License 2.0",646,8734,6762,122639,"2012-09-13 11:34:43","2022-07-25 05:59:08","2022-07-25 03:06:25",https://www.activiti.org,Java,2048,410,1967,55,"2022-07-25 05:06:19","7b436db58dd7aaab74f68bae0e86f253d543e06f",true,false
freeplane/freeplane,false,14418,46,1.10.x,1,211,"GNU General Public License v2.0",71,1021,235,215176,"2012-09-13 08:55:51","2022-07-23 09:23:44","2022-07-25 11:39:40",,Java,256,98,115,2,"2022-07-23 09:23:40","e1efc829712bc2e8bb6e4831d9d5bbcbb56c73ac",false,false
